Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,label
8080,1.013411045074463,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,961.110503713163,9.86766430917005,9.86766430917005,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11260122723049587,0.3153305405181611,1.004479169845581,1.2874603271484375e-05,1.013411045074463,0.11260122723049587,0.3153305405181611,1.004479169845581,1.2874603271484375e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0085859298706055,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.7084945900023,9.914871607700228,9.914871607700228,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11206510331895617,0.3152538433299022,1.003735065460205,9.059906005859375e-06,1.0085859298706055,0.11206510331895617,0.3152538433299022,1.003735065460205,9.059906005859375e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0096828937530518,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.6593064279654,9.90409965531792,9.90409965531792,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11218698819478352,0.31518852102762646,1.0036718845367432,2.002716064453125e-05,1.0096828937530518,0.11218698819478352,0.31518852102762646,1.0036718845367432,2.002716064453125e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0122878551483154,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,962.1769095089008,9.878613033972288,9.878613033972288,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11247642834981282,0.31634060814375314,1.0072200298309326,9.059906005859375e-06,1.0122878551483154,0.11247642834981282,0.31634060814375314,1.0072200298309326,9.059906005859375e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0120899677276611,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,962.3650377513567,9.880544535434874,9.880544535434874,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11245444085862902,0.3150603560365239,1.0035679340362549,1.0013580322265625e-05,1.0120899677276611,0.11245444085862902,0.3150603560365239,1.0035679340362549,1.0013580322265625e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0097429752349854,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.6019075035731,9.903510343979189,9.903510343979189,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11219366391499837,0.315209193856259,1.003736972808838,1.71661376953125e-05,1.0097429752349854,0.11219366391499837,0.315209193856259,1.003736972808838,1.71661376953125e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0102341175079346,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.1329500954515,9.8986955861956,9.8986955861956,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.1122482352786594,0.3157107172330705,1.0052099227905273,6.9141387939453125e-06,1.0102341175079346,0.1122482352786594,0.3157107172330705,1.0052099227905273,6.9141387939453125e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0091779232025146,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.1420008367985,9.9090554500698,9.9090554500698,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11213088035583496,0.3153077942894529,1.0039539337158203,1.0967254638671875e-05,1.0091779232025146,0.11213088035583496,0.3153077942894529,1.0039539337158203,1.0967254638671875e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0106799602508545,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.7076407038383,9.894328959998338,9.894328959998338,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11229777336120605,0.3154050153879643,1.0043940544128418,1.5974044799804688e-05,1.0106799602508545,0.11229777336120605,0.3154050153879643,1.0043940544128418,1.5974044799804688e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0111188888549805,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.2892934113663,9.890033813258382,9.890033813258382,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11234654320610894,0.3159586739728382,1.006009817123413,1.3828277587890625e-05,1.0111188888549805,0.11234654320610894,0.3159586739728382,1.006009817123413,1.3828277587890625e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0090110301971436,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,965.3016377924996,9.910694433187881,9.910694433187881,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11211233668857151,0.3153182208819535,1.003964900970459,1.2874603271484375e-05,1.0090110301971436,0.11211233668857151,0.3153182208819535,1.003964900970459,1.2874603271484375e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0107319355010986,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.6580836016745,9.893820160181463,9.893820160181463,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11230354838901097,0.3159794366609853,1.006026029586792,8.821487426757812e-06,1.0107319355010986,0.11230354838901097,0.3159794366609853,1.006026029586792,8.821487426757812e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.032425880432129,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,943.4091284037994,9.68592534295482,9.68592534295482,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11471398671468098,0.3215316604523591,1.024134874343872,1.2874603271484375e-05,1.032425880432129,0.11471398671468098,0.3215316604523591,1.024134874343872,1.2874603271484375e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0098519325256348,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.4978324337418,9.90244181143472,9.90244181143472,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11220577028062609,0.3151157529896472,1.0034830570220947,1.5020370483398438e-05,1.0098519325256348,0.11220577028062609,0.3151157529896472,1.0034830570220947,1.5020370483398438e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.009917974472046,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,964.4347606637829,9.901794257328367,9.901794257328367,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11221310827467176,0.315411384421058,1.0043280124664307,1.0013580322265625e-05,1.009917974472046,0.11221310827467176,0.315411384421058,1.0043280124664307,1.0013580322265625e-05,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
8080,1.0111589431762695,10,0,974.0,0,215.0,66.0,97.4,58.88157606586291,0,0,0,0,963.2511353165257,9.889642046370902,9.889642046370902,0.0,66.0,215.0,97.4,58.88157606586291,3467.0399999999995,0.11235099368625218,0.3158578348459428,1.0057289600372314,9.775161743164062e-06,1.0111589431762695,0.11235099368625218,0.3158578348459428,1.0057289600372314,9.775161743164062e-06,0,0,0,0,0,2,2,0,2,8,2,0,0,0,BENIGNO
